Date time,EVENT
2024-09-08 오전 12:22:52,EV_Vibe13번,Opened
2024-09-08 오전 12:23:04,EV_Fiber13번,Connecting
2024-09-08 오전 12:23:04,TRY,Reconnection
2024-09-08 오전 12:23:04,EV_Vibe13번,Opened
2024-09-08 오전 12:23:16,EV_Fiber13번,Connecting
2024-09-08 오전 12:23:16,TRY,Reconnection
2024-09-08 오전 12:23:16,EV_Vibe13번,Opened
2024-09-08 오전 12:23:28,EV_Fiber13번,Connecting
2024-09-08 오전 12:23:28,TRY,Reconnection
2024-09-08 오전 12:23:28,EV_Vibe13번,Opened
2024-09-08 오전 12:23:40,EV_Fiber13번,Connecting
2024-09-08 오전 12:23:40,TRY,Reconnection
2024-09-08 오전 12:23:40,EV_Vibe13번,Opened
2024-09-08 오전 12:23:52,EV_Fiber13번,Connecting
2024-09-08 오전 12:23:52,TRY,Reconnection
2024-09-08 오전 12:23:52,EV_Vibe13번,Opened
2024-09-08 오전 12:24:04,EV_Fiber13번,Connecting
2024-09-08 오전 12:24:04,TRY,Reconnection
2024-09-08 오전 12:24:04,EV_Vibe13번,Opened
2024-09-08 오전 12:24:16,EV_Fiber13번,Connecting
2024-09-08 오전 12:24:16,TRY,Reconnection
2024-09-08 오전 12:24:16,EV_Vibe13번,Opened
2024-09-08 오전 12:24:28,EV_Fiber13번,Connecting
2024-09-08 오전 12:24:28,TRY,Reconnection
2024-09-08 오전 12:24:28,EV_Vibe13번,Opened
2024-09-08 오전 12:24:40,EV_Fiber13번,Connecting
2024-09-08 오전 12:24:40,TRY,Reconnection
2024-09-08 오전 12:24:40,EV_Vibe13번,Opened
2024-09-08 오전 12:24:52,EV_Fiber13번,Connecting
2024-09-08 오전 12:24:52,TRY,Reconnection
2024-09-08 오전 12:24:52,EV_Vibe13번,Opened
2024-09-08 오전 12:25:04,EV_Fiber13번,Connecting
2024-09-08 오전 12:25:04,TRY,Reconnection
2024-09-08 오전 12:25:04,EV_Vibe13번,Opened
2024-09-08 오전 12:25:16,EV_Fiber13번,Connecting
2024-09-08 오전 12:25:16,TRY,Reconnection
2024-09-08 오전 12:25:16,EV_Vibe13번,Opened
2024-09-08 오전 12:25:28,EV_Fiber13번,Connecting
2024-09-08 오전 12:25:28,TRY,Reconnection
2024-09-08 오전 12:25:28,EV_Vibe13번,Opened
2024-09-08 오전 12:25:40,EV_Fiber13번,Connecting
2024-09-08 오전 12:25:40,TRY,Reconnection
2024-09-08 오전 12:25:40,EV_Vibe13번,Opened
2024-09-08 오전 12:25:52,EV_Fiber13번,Connecting
2024-09-08 오전 12:25:52,TRY,Reconnection
2024-09-08 오전 12:25:52,EV_Vibe13번,Opened
2024-09-08 오전 12:26:04,EV_Fiber13번,Connecting
2024-09-08 오전 12:26:04,TRY,Reconnection
2024-09-08 오전 12:26:04,EV_Vibe13번,Opened
2024-09-08 오전 12:26:18,EV_Fiber13번,Connecting
2024-09-08 오전 12:26:18,TRY,Reconnection
2024-09-08 오전 12:26:19,EV_Vibe13번,Opened
2024-09-08 오전 12:26:30,EV_Fiber13번,Connecting
2024-09-08 오전 12:26:30,TRY,Reconnection
2024-09-08 오전 12:26:30,EV_Vibe13번,Opened
2024-09-08 오전 12:26:42,EV_Fiber13번,Connecting
2024-09-08 오전 12:26:42,TRY,Reconnection
2024-09-08 오전 12:26:42,EV_Vibe13번,Opened
2024-09-08 오전 12:26:54,EV_Fiber13번,Connecting
2024-09-08 오전 12:26:54,TRY,Reconnection
2024-09-08 오전 12:26:54,EV_Vibe13번,Opened
2024-09-08 오전 12:27:06,EV_Fiber13번,Connecting
2024-09-08 오전 12:27:06,TRY,Reconnection
2024-09-08 오전 12:27:06,EV_Vibe13번,Opened
2024-09-08 오전 12:27:18,EV_Fiber13번,Connecting
2024-09-08 오전 12:27:18,TRY,Reconnection
2024-09-08 오전 12:27:18,EV_Vibe13번,Opened
2024-09-08 오전 12:27:46,EV_Fiber13번,Connecting
2024-09-08 오전 12:27:46,TRY,Reconnection
2024-09-08 오전 12:27:46,EV_Vibe13번,Opened
2024-09-08 오전 12:27:58,EV_Fiber13번,Connecting
2024-09-08 오전 12:27:58,TRY,Reconnection
2024-09-08 오전 12:27:58,EV_Vibe13번,Opened
2024-09-08 오전 12:28:10,EV_Fiber13번,Connecting
2024-09-08 오전 12:28:10,TRY,Reconnection
2024-09-08 오전 12:28:10,EV_Vibe13번,Opened
2024-09-08 오전 12:28:22,EV_Fiber13번,Connecting
2024-09-08 오전 12:28:22,TRY,Reconnection
2024-09-08 오전 12:28:22,EV_Vibe13번,Opened
2024-09-08 오전 12:28:34,EV_Fiber13번,Connecting
2024-09-08 오전 12:28:34,TRY,Reconnection
2024-09-08 오전 12:28:34,EV_Vibe13번,Opened
